truth,plugin_estimate,propensity_estimate,propensity_variance,propensity_lower,propensity_upper,riesz_estimate,riesz_variance,riesz_lower,riesz_upper,riesz_oa_estimate,riesz_oa_variance,riesz_oa_lower,riesz_oa_upper
1.000000000000000000e+00,8.937959518524098979e-01,9.566326875836765886e-01,2.165504514630320898e+00,8.654241236030730811e-01,1.047841251564280096e+00,9.634562862845515996e-01,4.944760478155282080e+00,8.256310641629045488e-01,1.101281508406198650e+00,9.762285845623448477e-01,4.132908602673674991e+00,8.502246890351382591e-01,1.102232480089551547e+00
1.000000000000000000e+00,8.812848331200537899e-01,9.446961057841806175e-01,1.960406097327490382e+00,8.579142179071973517e-01,1.031477993661163772e+00,9.777545611853176721e-01,4.459797718939316091e+00,8.468623959611252250e-01,1.108646726409510119e+00,9.664967765700720470e-01,3.374625248985537951e+00,8.526373880397324356e-01,1.080356165100411658e+00
1.000000000000000000e+00,9.904183207620589346e-01,1.043052731865701910e+00,1.545945195495570745e+00,9.659884530913190881e-01,1.120117010640084620e+00,1.056171679521824558e+00,4.028823743474490016e+00,9.317645684190760669e-01,1.180578790624573049e+00,1.056068426840379493e+00,3.673443158239069639e+00,9.372749117114331785e-01,1.174861941969325807e+00
1.000000000000000000e+00,9.779493407234377544e-01,1.042504276311391420e+00,1.788418934591447407e+00,9.596164594796851022e-01,1.125392093143097849e+00,1.077612935343248868e+00,4.413235149642892097e+00,9.474058535432632322e-01,1.207820017143234503e+00,1.058336704008717044e+00,3.823611464839379970e+00,9.371394028699253642e-01,1.179534005147508724e+00
1.000000000000000000e+00,9.722772002996142859e-01,1.041353228192122504e+00,1.953449928680142778e+00,9.547254425456127569e-01,1.127981013838632141e+00,1.037577204437906353e+00,4.623301159264898708e+00,9.043072763467122632e-01,1.170847132529100332e+00,1.086694432146938283e+00,3.919715717357286078e+00,9.639834713496250318e-01,1.209405392944251645e+00
1.000000000000000000e+00,9.625955304890034814e-01,1.010332864509849493e+00,1.582187986082698838e+00,9.323704801996239855e-01,1.088295248820075001e+00,1.035945989592927940e+00,3.681280342465455213e+00,9.170258207248368487e-01,1.154866158461018921e+00,1.028062866370641482e+00,3.221276501522412072e+00,9.168205371598212583e-01,1.139305195581461705e+00
1.000000000000000000e+00,8.678788052858992241e-01,9.229108309601321558e-01,1.788229276323685335e+00,8.400274092889374877e-01,1.005794252631326824e+00,9.500802917626233191e-01,4.386824170357899177e+00,8.202634063707494594e-01,1.079897177154497179e+00,9.388348481426395109e-01,3.663398088699962862e+00,8.202038652690673004e-01,1.057465831016211721e+00
1.000000000000000000e+00,8.669870739895418899e-01,9.224722740387968356e-01,1.826308358718272462e+00,8.387110288782089196e-01,1.006233519199384752e+00,9.626778960509994043e-01,3.949139167854213373e+00,8.395072297897960834e-01,1.085848562312202725e+00,9.489594622740772367e-01,3.749601120592096049e+00,8.289408484474436456e-01,1.068978076100710828e+00
1.000000000000000000e+00,9.101411980670602864e-01,9.633984523614853579e-01,2.105858039361251599e+00,8.734547797435063821e-01,1.053342124979464334e+00,1.001344605908238705e+00,4.905854116947043764e+00,8.640626727354290271e-01,1.138626539081048383e+00,1.008223461011673594e+00,3.919483305068251155e+00,8.855161382279448379e-01,1.130930783795402350e+00
1.000000000000000000e+00,9.633443227963212063e-01,1.000906391180024446e+00,1.627645494201258369e+00,9.218319772996576011e-01,1.079980805060391180e+00,1.041367948494921647e+00,3.848731289533647626e+00,9.197731865934628548e-01,1.162962710396380439e+00,1.026001860435839186e+00,3.374939412864981225e+00,9.121371721059530202e-01,1.139866548765725351e+00
1.000000000000000000e+00,9.581862807158341155e-01,1.016156989368762975e+00,1.864329131240169968e+00,9.315283488823872249e-01,1.100785629855138836e+00,1.019637613540658183e+00,4.988343498585731339e+00,8.812063295613243863e-01,1.158068897519991980e+00,1.051686471642718779e+00,3.882126655787956793e+00,9.295653114743228640e-01,1.173807631811114804e+00
1.000000000000000000e+00,7.534879959328752985e-01,8.038725855771338136e-01,1.747295238828230568e+00,7.219432905143632340e-01,8.858018806399043932e-01,8.387780489784208982e-01,4.335563587714432288e+00,7.097218554867338325e-01,9.678342424701079638e-01,8.348672037590643136e-01,3.576744310837030927e+00,7.176476621095955188e-01,9.520867454085331083e-01
1.000000000000000000e+00,9.724707345555050342e-01,1.020093540811237265e+00,2.024765629372502929e+00,9.318986450303735625e-01,1.108288436592100856e+00,1.062894637839939982e+00,4.527457143007103113e+00,9.310133299886145242e-01,1.194775945691265440e+00,1.056867237991507169e+00,3.773856689897434613e+00,9.364610593298205998e-01,1.177273416653193738e+00
1.000000000000000000e+00,9.496371614446114107e-01,9.859025575058448787e-01,1.326512411805575553e+00,9.145167740388806532e-01,1.057288340972809104e+00,9.999470397456592385e-01,3.596739401749828424e+00,8.824003082480877946e-01,1.117493771243230682e+00,9.933033490164036028e-01,3.149729513132425218e+00,8.833033449361785694e-01,1.103303353096628747e+00
1.000000000000000000e+00,9.432183885170472015e-01,9.775794069331397163e-01,1.749963829186871767e+00,8.955875716920360663e-01,1.059571242174243366e+00,9.916113755563550347e-01,4.064098581835226653e+00,8.666608208878053832e-01,1.116561930224904575e+00,1.001986039268386808e+00,3.790370170908068825e+00,8.813167140504158947e-01,1.122655364486357721e+00
1.000000000000000000e+00,9.334913662329542561e-01,9.714683596456575865e-01,1.710344748910323176e+00,8.904099832283255411e-01,1.052526736062989743e+00,9.621074767611299539e-01,4.333565622785366500e+00,8.330810232855256903e-01,1.091133930236734217e+00,9.872127800981925771e-01,3.907553503311115506e+00,8.646923428710916459e-01,1.109733217325293397e+00
1.000000000000000000e+00,8.953021659634775586e-01,9.412442585062934519e-01,1.946445508192412133e+00,8.547719215176821095e-01,1.027716595494904794e+00,9.457374751409977076e-01,4.427201492789235360e+00,8.153245261876858052e-01,1.076150424094309610e+00,9.801046908092507781e-01,3.718666856731202675e+00,8.605821799720926313e-01,1.099627201646408814e+00
1.000000000000000000e+00,8.786881986581258630e-01,9.416401289596348922e-01,1.841259186227930389e+00,8.575367325370574223e-01,1.025743525382212251e+00,9.613279470371018931e-01,4.840279267936544727e+00,8.249666004769236061e-01,1.097689293597280180e+00,9.978530349780772024e-01,3.764176360590731907e+00,8.776013825701149962e-01,1.118104687386039409e+00
1.000000000000000000e+00,9.369247315909410290e-01,9.744910126326956634e-01,1.691622036968276843e+00,8.938775198587354254e-01,1.055104505406655901e+00,9.729090630054691990e-01,4.401554257616479227e+00,8.428744105621321925e-01,1.102943715448806206e+00,1.017963423603180040e+00,3.789376867933195392e+00,8.973099107001063501e-01,1.138616936506253730e+00
1.000000000000000000e+00,8.841975596491963296e-01,9.539622452679581421e-01,1.508986324077870922e+00,8.778247258535619713e-01,1.030099764682354202e+00,1.022714763244849223e+00,3.953245961737431369e+00,8.994800697263010125e-01,1.145949456763397434e+00,9.534037586967502031e-01,2.842935146357775000e+00,8.488981623956524114e-01,1.057909354997847995e+00
1.000000000000000000e+00,8.666384789924548304e-01,9.205150989720012333e-01,1.787036372157589037e+00,8.376593271315277978e-01,1.003370870812474669e+00,9.584967894528368948e-01,4.483215743880651694e+00,8.272614222620833235e-01,1.089732156643590466e+00,9.539452080968322534e-01,3.526024932584246763e+00,8.375597391541174108e-01,1.070330677039547096e+00
1.000000000000000000e+00,7.523783098795587820e-01,7.950314389892026989e-01,1.924529667798841492e+00,7.090472941029736242e-01,8.810155838754317736e-01,8.388158896356029404e-01,4.385850631479063289e+00,7.090134097444622530e-01,9.686183695267436278e-01,8.415490207479118245e-01,3.797377537496799516e+00,7.207682046054146863e-01,9.623298368904089628e-01
1.000000000000000000e+00,9.396599638481243355e-01,9.834667670940795414e-01,1.806877674079437668e+00,9.001522949254127104e-01,1.066781239262746483e+00,1.019317431044538536e+00,4.521949505504911926e+00,8.875163642038347289e-01,1.151118497885242231e+00,1.015480889364732020e+00,3.738127682066751944e+00,8.956460392441280005e-01,1.135315739485336151e+00
1.000000000000000000e+00,8.873252215815667920e-01,9.350517227613365234e-01,1.624340516996910511e+00,8.560576310196414962e-01,1.014045814503031551e+00,9.412747994971010224e-01,3.793055937805131173e+00,8.205627301308930921e-01,1.061986868863308953e+00,9.442215184631187475e-01,3.256198376715891740e+00,8.323778253732008192e-01,1.056065211553036676e+00
1.000000000000000000e+00,8.509798437463363951e-01,8.921758785236554301e-01,1.603032549752242186e+00,8.137016162262102892e-01,9.706501408211005710e-01,9.248906269632213295e-01,3.913233222351988783e+00,8.022811789300970942e-01,1.047500074996345676e+00,9.254207631069422124e-01,3.450168333622483985e+00,8.102940213375160461e-01,1.040547504876368379e+00
1.000000000000000000e+00,7.814550357186378360e-01,8.245373277119364408e-01,2.022944868909145377e+00,7.363820952614382742e-01,9.126925601624346074e-01,8.584534873725806481e-01,4.768619924630254303e+00,7.231053056246916633e-01,9.938016691204696329e-01,8.713468136197732861e-01,3.820579138253346052e+00,7.501975799551972024e-01,9.924960472843493697e-01
1.000000000000000000e+00,8.580747512527434617e-01,8.865989275575311135e-01,2.088799056105004048e+00,7.970203003413642850e-01,9.761775547736979419e-01,8.858839173127363020e-01,4.579837364946708789e+00,7.532419057885616498e-01,1.018525928836910843e+00,9.230960906578761227e-01,3.993598426752794417e+00,7.992340395033213918e-01,1.046958141812430965e+00
1.000000000000000000e+00,9.783391517595321218e-01,1.046782514818461740e+00,1.954420611868189939e+00,9.601332088630598616e-01,1.133431820773863619e+00,1.088061009718974903e+00,4.840896289461554147e+00,9.516909720068897904e-01,1.224431047431060016e+00,1.088740490086069324e+00,3.829851892354108500e+00,9.674443276172279838e-01,1.210036652554910663e+00
1.000000000000000000e+00,9.206800281950107134e-01,9.701409859069729524e-01,1.784658753237076789e+00,8.873403514502518075e-01,1.052941620363694097e+00,9.795634611063316344e-01,4.538007908176582283e+00,8.475285748828370602e-01,1.111598347329826098e+00,9.988899387841810862e-01,3.794539872892479515e+00,8.781542589885890093e-01,1.119625618579773274e+00
1.000000000000000000e+00,7.766379153030656957e-01,8.509862950814078841e-01,1.973869126644996141e+00,7.639069310683455072e-01,9.380656590944702611e-01,9.005352518245476334e-01,4.488904973525913000e+00,7.692166417713752757e-01,1.031853861877719991e+00,8.713984318046757993e-01,3.914747639347097685e+00,7.487652612050545997e-01,9.940316024042969989e-01
1.000000000000000000e+00,8.966296530824179323e-01,9.589985070757496288e-01,1.872166610302674172e+00,8.741921673944572646e-01,1.043804846757041993e+00,1.031929526328936753e+00,5.152864654256676502e+00,8.912339512180170731e-01,1.172625101439856543e+00,1.044562788535363218e+00,4.167297014075358241e+00,9.180357629271087561e-01,1.171089814143617680e+00
1.000000000000000000e+00,7.941212818262955997e-01,8.542879386794089980e-01,2.050883691163367661e+00,7.655260392632000643e-01,9.430498380956179316e-01,9.180388398462887567e-01,5.124626612936755699e+00,7.777293049020881366e-01,1.058348374790489377e+00,9.036983437160399646e-01,4.258501580969647371e+00,7.757942402890858347e-01,1.031602447142994095e+00
1.000000000000000000e+00,8.792849236455667628e-01,9.522477234152671999e-01,1.972588250346185790e+00,8.651966176064957992e-01,1.039298829224038601e+00,9.555498040680092675e-01,5.016424341982724577e+00,8.167294318160921440e-01,1.094370176319926280e+00,9.616799890538746398e-01,4.135230424400536897e+00,8.356407047081710893e-01,1.087719273399578190e+00
1.000000000000000000e+00,9.197046799757414570e-01,9.514554618989348178e-01,1.598956343344598130e+00,8.730810356580199771e-01,1.029829888139849770e+00,9.368821785598622220e-01,4.120033389861511353e+00,8.110747055286786633e-01,1.062689651591045781e+00,9.801003675872576038e-01,3.581288238119775258e+00,8.628063912050029094e-01,1.097394343969512409e+00
1.000000000000000000e+00,9.164690381350281134e-01,9.573727719300760830e-01,1.919559122047296729e+00,8.714997358637013303e-01,1.043245807996450836e+00,9.681485574256514237e-01,4.637075289964468716e+00,8.346802524468006634e-01,1.101616862404502184e+00,1.007120709360842081e+00,3.819297626414541735e+00,8.859917955473594064e-01,1.128249623174324645e+00
1.000000000000000000e+00,9.895380595537754953e-01,1.052441746193699013e+00,1.723816202657667329e+00,9.710647695717471439e-01,1.133818722815650881e+00,1.125786819145185635e+00,3.802140991543822235e+00,1.004930272640187638e+00,1.246643365650183632e+00,1.085956731405842257e+00,3.268645638903645345e+00,9.738994733347461352e-01,1.198013989476938379e+00
1.000000000000000000e+00,8.695874867230901639e-01,9.281525091616007472e-01,1.705250857547010224e+00,8.472149301617777351e-01,1.009090088161423759e+00,9.434327585291081286e-01,4.171127257100804009e+00,8.168475995614058460e-01,1.070017917496810300e+00,9.482239854474155960e-01,3.680470074844615080e+00,8.293169047519285408e-01,1.067131066142902762e+00
1.000000000000000000e+00,9.178431137525917549e-01,9.506846862887320393e-01,1.840184416984992355e+00,8.666058396250821971e-01,1.034763532952381881e+00,9.740323017963554708e-01,4.102800037117019905e+00,8.484882194085792140e-01,1.099576384184131728e+00,9.913632609954091679e-01,3.437559061304679808e+00,8.764470876780381392e-01,1.106279434312780197e+00
1.000000000000000000e+00,8.287417288354237410e-01,8.798765138449895495e-01,1.883613958932900845e+00,7.948112954261984386e-01,9.649417322637806604e-01,8.724074213211492346e-01,4.840361249248506859e+00,7.360449199686400767e-01,1.008769922673658392e+00,9.363633382849944065e-01,3.885642908587042754e+00,8.141868847531129605e-01,1.058539791816875741e+00
1.000000000000000000e+00,9.587916239771446802e-01,1.019437262901550678e+00,1.699973184745933841e+00,9.386250300000896774e-01,1.100249495803011790e+00,1.041670412502413878e+00,4.298740225167811069e+00,9.131634459636123191e-01,1.170177379041215548e+00,1.049505688211195054e+00,3.553037368828944498e+00,9.326752625674730179e-01,1.166336113854917089e+00
1.000000000000000000e+00,8.867004105074501874e-01,9.218540603036807779e-01,1.685381499953704454e+00,8.413893999227275433e-01,1.002318720684634012e+00,9.604194429554641088e-01,4.175741639566235897e+00,8.337642848190595091e-01,1.087074601091868598e+00,9.757155151609446797e-01,3.219262095024498560e+00,8.645079737608843962e-01,1.086923056561004852e+00
1.000000000000000000e+00,9.109630272175884835e-01,9.772319818550425641e-01,2.040377176476959598e+00,8.886977344636861620e-01,1.065766229246398966e+00,1.016784359892744405e+00,4.918464593223172088e+00,8.793260986592843498e-01,1.154242621126204460e+00,9.875485770421460474e-01,4.012302979539803971e+00,8.633968024829392629e-01,1.111700351601352832e+00
1.000000000000000000e+00,9.294926945946813124e-01,9.588021034433495959e-01,1.699830960749505238e+00,8.779932510890728903e-01,1.039610955797626302e+00,9.865533132033545982e-01,3.922749372843910454e+00,8.637948756492819236e-01,1.109311750757427273e+00,1.004749608251139570e+00,3.521909383287160189e+00,8.884320812535457801e-01,1.121067135248733360e+00
1.000000000000000000e+00,9.799158345686894700e-01,1.025351687758816022e+00,2.021428992005634750e+00,9.372294906931002423e-01,1.113473884824531801e+00,1.067156337893877982e+00,4.905672848468710434e+00,9.298769409885979664e-01,1.204435734799157887e+00,1.084288147007136605e+00,4.090314041624880659e+00,9.589352434815056059e-01,1.209641050532767492e+00
1.000000000000000000e+00,8.928599079427015361e-01,9.598535970766695069e-01,1.948823414015619981e+00,8.733284560638840954e-01,1.046378738089454918e+00,1.001686550910740436e+00,5.087878790036595156e+00,8.618809889333834962e-01,1.141492112888097266e+00,9.714690494667999054e-01,4.288500407070972464e+00,8.431152292517246627e-01,1.099822869681875037e+00
1.000000000000000000e+00,9.106251266015449319e-01,9.503605610235648093e-01,1.464263501584055049e+00,8.753597965762253130e-01,1.025361325470904417e+00,9.667148383924150101e-01,3.807322266203050809e+00,8.457759727707893083e-01,1.087653704014040823e+00,9.749828074433736225e-01,3.046314088019898225e+00,8.668036957787955687e-01,1.083161919107951565e+00
1.000000000000000000e+00,8.820013503596420001e-01,9.297477370568636434e-01,1.846371755966965011e+00,8.455276578730805959e-01,1.013967816240646691e+00,9.440355857433216924e-01,4.291191409442488336e+00,8.156415013059370445e-01,1.072429670180706340e+00,9.706535017149793276e-01,3.218470506637739703e+00,8.594596336362964051e-01,1.081847369793662139e+00
1.000000000000000000e+00,9.876345015706421426e-01,1.044554642972264302e+00,1.914960370595182759e+00,9.587845330290069024e-01,1.130324752915521591e+00,1.106436248462908001e+00,4.961178190693322776e+00,9.683824106409645305e-01,1.244490086284851582e+00,1.098417664511725622e+00,3.855595588953288910e+00,9.767145174097588978e-01,1.220120811613692346e+00
1.000000000000000000e+00,9.310076201926585915e-01,9.852319514776565201e-01,1.664019477410522141e+00,9.052788575761678835e-01,1.065185045379145157e+00,1.021583996012954687e+00,4.348277599606409360e+00,8.923387128237876276e-01,1.150829279202121747e+00,1.023470924131677506e+00,3.624867170741318478e+00,9.054654593297462029e-01,1.141476388933608810e+00
1.000000000000000000e+00,8.519135235546347884e-01,9.000100103202499646e-01,1.971253121401988162e+00,8.129883693843432679e-01,9.870316512561566613e-01,9.207637322261074120e-01,4.336309989637180173e+00,7.916964301849235275e-01,1.049831034267291408e+00,9.232104474356848112e-01,3.566985828451214591e+00,8.061509208751430622e-01,1.040269973996226671e+00
1.000000000000000000e+00,9.664350694186789603e-01,1.006195730592444049e+00,1.880938742105067840e+00,9.211909408940345267e-01,1.091200520290853460e+00,1.032063598797159809e+00,4.553721983985330013e+00,8.998003069370293927e-01,1.164326890657290114e+00,1.038541831785605218e+00,3.927641103074618556e+00,9.157068772263615708e-01,1.161376786344848977e+00
